,hiperparametry_zbior_1,wynik_zbior_1,hiperparametry_zbior_2,wynik_zbior_2,hiperparametry_zbior_3,wynik_zbior_3,hiperparametry_zbior_4,wynik_zbior_4,model
10,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.17225859653987874), ('classifier__max_depth', 15), ('classifier__max_leaf_nodes', 15), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 2), ('classifier__warm_start', False)])",0.7,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 3.107866187782014), ('classifier__max_depth', 12), ('classifier__max_leaf_nodes', 32), ('classifier__min_samples_leaf', 2), ('classifier__min_samples_split', 3), ('classifier__warm_start', False)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.009011018251665018), ('classifier__max_depth', 2), ('classifier__max_leaf_nodes', 8), ('classifier__min_samples_leaf', 2), ('classifier__min_samples_split', 5), ('classifier__warm_start', False)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.003370064329271928), ('classifier__max_depth', 13), ('classifier__max_leaf_nodes', 16), ('classifier__min_samples_leaf', 2), ('classifier__min_samples_split', 3), ('classifier__warm_start', True)])",0.8065227377124483,RandomForestClassifier
11,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 4), ('classifier__max_leaf_nodes', 35), ('classifier__min_samples_leaf', 7), ('classifier__min_samples_split', 5), ('classifier__warm_start', False)])",0.7049999999999998,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 13), ('classifier__max_leaf_nodes', 3), ('classifier__min_samples_leaf', 9), ('classifier__min_samples_split', 3), ('classifier__warm_start', True)])",0.7747988830643779,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 6.593188271333548), ('classifier__max_depth', 19), ('classifier__max_leaf_nodes', 7), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 9), ('classifier__warm_start', False)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.0455293507486695), ('classifier__max_depth', 17), ('classifier__max_leaf_nodes', 47), ('classifier__min_samples_leaf', 6), ('classifier__min_samples_split', 3), ('classifier__warm_start', False)])",0.8065227377124483,RandomForestClassifier
12,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 1), ('classifier__max_leaf_nodes', 35), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 4), ('classifier__warm_start', False)])",0.7,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 8.804883581643464), ('classifier__max_depth', 8), ('classifier__max_leaf_nodes', 44), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 4), ('classifier__warm_start', False)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.003001835813575589), ('classifier__max_depth', 4), ('classifier__max_leaf_nodes', 16), ('classifier__min_samples_leaf', 6), ('classifier__min_samples_split', 5), ('classifier__warm_start', True)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 17), ('classifier__max_leaf_nodes', 3), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 6), ('classifier__warm_start', False)])",0.8065227377124483,RandomForestClassifier
13,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 16.638168860761308), ('classifier__max_depth', 4), ('classifier__max_leaf_nodes', 2), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 2), ('classifier__warm_start', False)])",0.7,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.0015885651294280528), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 44), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 4), ('classifier__warm_start', True)])",0.8634337204919997,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.0015885651294280528), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 45), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 5), ('classifier__warm_start', True)])",0.8913953943186819,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.73168071434272), ('classifier__max_depth', 6), ('classifier__max_leaf_nodes', 4), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 2), ('classifier__warm_start', False)])",0.8065227377124483,RandomForestClassifier
14,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.011357333583431058), ('classifier__max_depth', 10), ('classifier__max_leaf_nodes', 38), ('classifier__min_samples_leaf', 7), ('classifier__min_samples_split', 5), ('classifier__warm_start', False)])",0.7,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.0015885651294280528), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 3), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 7), ('classifier__warm_start', True)])",0.7775744338232775,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.2899422853882878), ('classifier__max_depth', 16), ('classifier__max_leaf_nodes', 39), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 2), ('classifier__warm_start', False)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.002247805833548725), ('classifier__max_depth', 11), ('classifier__max_leaf_nodes', 45), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 3), ('classifier__warm_start', False)])",0.8065227377124483,RandomForestClassifier
15,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 12), ('classifier__max_leaf_nodes', 35), ('classifier__min_samples_leaf', 5), ('classifier__min_samples_split', 4), ('classifier__warm_start', True)])",0.744,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.17225859653987874), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 47), ('classifier__min_samples_leaf', 2), ('classifier__min_samples_split', 8), ('classifier__warm_start', True)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.09658832241158703), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 32), ('classifier__min_samples_leaf', 6), ('classifier__min_samples_split', 3), ('classifier__warm_start', False)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 8), ('classifier__max_leaf_nodes', None), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 3), ('classifier__warm_start', False)])",0.8069820854386771,RandomForestClassifier
16,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.20490746898158482), ('classifier__max_depth', 13), ('classifier__max_leaf_nodes', 39), ('classifier__min_samples_leaf', 7), ('classifier__min_samples_split', 3), ('classifier__warm_start', True)])",0.7,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.09115888299750823), ('classifier__max_depth', 3), ('classifier__max_leaf_nodes', 30), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 4), ('classifier__warm_start', True)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 19.791668678535572), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 30), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 4), ('classifier__warm_start', False)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 16), ('classifier__max_leaf_nodes', 47), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 2), ('classifier__warm_start', False)])",0.8075333027101514,RandomForestClassifier
17,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 10), ('classifier__max_leaf_nodes', 15), ('classifier__min_samples_leaf', 5), ('classifier__min_samples_split', 2), ('classifier__warm_start', False)])",0.7350000000000001,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 2.768286630392067), ('classifier__max_depth', None), ('classifier__max_leaf_nodes', 44), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 4), ('classifier__warm_start', True)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 49.9450511585514), ('classifier__max_depth', 16), ('classifier__max_leaf_nodes', 45), ('classifier__min_samples_leaf', 6), ('classifier__min_samples_split', 7), ('classifier__warm_start', False)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 17), ('classifier__max_leaf_nodes', 8), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 5), ('classifier__warm_start', False)])",0.810289389067524,RandomForestClassifier
18,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 9), ('classifier__max_leaf_nodes', 40), ('classifier__min_samples_leaf', 5), ('classifier__min_samples_split', 6), ('classifier__warm_start', False)])",0.744,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.00505263106533568), ('classifier__max_depth', 2), ('classifier__max_leaf_nodes', 44), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 4), ('classifier__warm_start', True)])",0.7788697022647069,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 2.1963853724165467), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 45), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 8), ('classifier__warm_start', True)])",0.8847601818804087,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 4), ('classifier__max_leaf_nodes', None), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 8), ('classifier__warm_start', True)])",0.8098300413412953,RandomForestClassifier
19,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 15), ('classifier__max_leaf_nodes', 9), ('classifier__min_samples_leaf', 5), ('classifier__min_samples_split', 8), ('classifier__warm_start', False)])",0.717,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.6517339604882427), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 30), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 4), ('classifier__warm_start', True)])",0.706513687600644,"OrderedDict([('classifier__bootstrap', False), ('classifier__ccp_alpha', 0.0014149912974345759), ('classifier__max_depth', 14), ('classifier__max_leaf_nodes', 34), ('classifier__min_samples_leaf', 2), ('classifier__min_samples_split', 3), ('classifier__warm_start', False)])",0.8907316775045226,"OrderedDict([('classifier__bootstrap', True), ('classifier__ccp_alpha', 0.00212145178491063), ('classifier__max_depth', 13), ('classifier__max_leaf_nodes', 34), ('classifier__min_samples_leaf', 8), ('classifier__min_samples_split', 4), ('classifier__warm_start', False)])",0.810289389067524,RandomForestClassifier
