,hiperparametry_zbior_1,wynik_zbior_1,hiperparametry_zbior_2,wynik_zbior_2,hiperparametry_zbior_3,wynik_zbior_3,hiperparametry_zbior_4,wynik_zbior_4,model
39,"OrderedDict([('classifier__ccp_alpha', 107.22672220103232), ('classifier__max_depth', 89), ('classifier__max_leaf_nodes', 70), ('classifier__min_samples_leaf', 47), ('classifier__min_samples_split', 8)])",0.7,"OrderedDict([('classifier__ccp_alpha', 0.05722367659350217), ('classifier__max_depth', 89), ('classifier__max_leaf_nodes', 170), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 8)])",0.7538870044882996,"OrderedDict([('classifier__ccp_alpha', 376.49358067924715), ('classifier__max_depth', 81), ('classifier__max_leaf_nodes', 40), ('classifier__min_samples_leaf', 9), ('classifier__min_samples_split', 7)])",0.8847601818804087,"OrderedDict([('classifier__ccp_alpha', 35.111917342151344), ('classifier__max_depth', 49), ('classifier__max_leaf_nodes', 190), ('classifier__min_samples_leaf', 18), ('classifier__min_samples_split', 8)])",0.8065227377124483,DecisionTreeClassifier
40,"OrderedDict([('classifier__ccp_alpha', 0.0026560877829466868), ('classifier__max_depth', 7), ('classifier__max_leaf_nodes', 210), ('classifier__min_samples_leaf', 20), ('classifier__min_samples_split', 7)])",0.709,"OrderedDict([('classifier__ccp_alpha', 0.0015199110829529332), ('classifier__max_depth', 43), ('classifier__max_leaf_nodes', 90), ('classifier__min_samples_leaf', 48), ('classifier__min_samples_split', 7)])",0.8136579641621269,"OrderedDict([('classifier__ccp_alpha', 1.072267222010323), ('classifier__max_depth', 13), ('classifier__max_leaf_nodes', 300), ('classifier__min_samples_leaf', 9), ('classifier__min_samples_split', 3)])",0.8847601818804087,"OrderedDict([('classifier__ccp_alpha', 11.497569953977356), ('classifier__max_depth', 23), ('classifier__max_leaf_nodes', 220), ('classifier__min_samples_leaf', 40), ('classifier__min_samples_split', 2)])",0.8065227377124483,DecisionTreeClassifier
41,"OrderedDict([('classifier__ccp_alpha', 0.07564633275546291), ('classifier__max_depth', 55), ('classifier__max_leaf_nodes', 140), ('classifier__min_samples_leaf', 3), ('classifier__min_samples_split', 7)])",0.7,"OrderedDict([('classifier__ccp_alpha', 11.497569953977356), ('classifier__max_depth', 83), ('classifier__max_leaf_nodes', 170), ('classifier__min_samples_leaf', 12), ('classifier__min_samples_split', 5)])",0.706513687600644,"OrderedDict([('classifier__ccp_alpha', 13.219411484660288), ('classifier__max_depth', 89), ('classifier__max_leaf_nodes', 250), ('classifier__min_samples_leaf', 22), ('classifier__min_samples_split', 6)])",0.8847601818804087,"OrderedDict([('classifier__ccp_alpha', 0.007054802310718645), ('classifier__max_depth', 67), ('classifier__max_leaf_nodes', 80), ('classifier__min_samples_leaf', 16), ('classifier__min_samples_split', 4)])",0.8065227377124483,DecisionTreeClassifier
42,"OrderedDict([('classifier__ccp_alpha', 0.012328467394420659), ('classifier__max_depth', 7), ('classifier__max_leaf_nodes', None), ('classifier__min_samples_leaf', 30), ('classifier__min_samples_split', 8)])",0.6839999999999999,"OrderedDict([('classifier__ccp_alpha', 81.11308307896873), ('classifier__max_depth', 69), ('classifier__max_leaf_nodes', 170), ('classifier__min_samples_leaf', 32), ('classifier__min_samples_split', 6)])",0.706513687600644,"OrderedDict([('classifier__ccp_alpha', 0.001), ('classifier__max_depth', 9), ('classifier__max_leaf_nodes', 30), ('classifier__min_samples_leaf', 13), ('classifier__min_samples_split', 6)])",0.8995787903974968,"OrderedDict([('classifier__ccp_alpha', 0.2009233002565048), ('classifier__max_depth', 35), ('classifier__max_leaf_nodes', 180), ('classifier__min_samples_leaf', 28), ('classifier__min_samples_split', 5)])",0.8065227377124483,DecisionTreeClassifier
43,"OrderedDict([('classifier__ccp_alpha', 0.001747528400007683), ('classifier__max_depth', 87), ('classifier__max_leaf_nodes', 270), ('classifier__min_samples_leaf', 44), ('classifier__min_samples_split', 7)])",0.733,"OrderedDict([('classifier__ccp_alpha', 0.0015199110829529332), ('classifier__max_depth', 45), ('classifier__max_leaf_nodes', 50), ('classifier__min_samples_leaf', 37), ('classifier__min_samples_split', 4)])",0.8219861582211259,"OrderedDict([('classifier__ccp_alpha', 0.11497569953977356), ('classifier__max_depth', 55), ('classifier__max_leaf_nodes', 90), ('classifier__min_samples_leaf', 34), ('classifier__min_samples_split', 9)])",0.8847601818804087,"OrderedDict([('classifier__ccp_alpha', 327.4549162877732), ('classifier__max_depth', 83), ('classifier__max_leaf_nodes', 310), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 3)])",0.8065227377124483,DecisionTreeClassifier
44,"OrderedDict([('classifier__ccp_alpha', 0.001747528400007683), ('classifier__max_depth', 49), ('classifier__max_leaf_nodes', 310), ('classifier__min_samples_leaf', 17), ('classifier__min_samples_split', 6)])",0.717,"OrderedDict([('classifier__ccp_alpha', 0.0015199110829529332), ('classifier__max_depth', 81), ('classifier__max_leaf_nodes', 180), ('classifier__min_samples_leaf', 23), ('classifier__min_samples_split', 7)])",0.8329031760715386,"OrderedDict([('classifier__ccp_alpha', 0.001), ('classifier__max_depth', 83), ('classifier__max_leaf_nodes', 170), ('classifier__min_samples_leaf', 34), ('classifier__min_samples_split', 2)])",0.8967039065173813,"OrderedDict([('classifier__ccp_alpha', 0.002009233002565048), ('classifier__max_depth', 99), ('classifier__max_leaf_nodes', 150), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 6)])",0.8029398254478639,DecisionTreeClassifier
45,"OrderedDict([('classifier__ccp_alpha', 0.001747528400007683), ('classifier__max_depth', 89), ('classifier__max_leaf_nodes', 170), ('classifier__min_samples_leaf', 44), ('classifier__min_samples_split', 3)])",0.733,"OrderedDict([('classifier__ccp_alpha', 0.0023101297000831605), ('classifier__max_depth', 43), ('classifier__max_leaf_nodes', 80), ('classifier__min_samples_leaf', 24), ('classifier__min_samples_split', 2)])",0.824390653373077,"OrderedDict([('classifier__ccp_alpha', 0.001), ('classifier__max_depth', 41), ('classifier__max_leaf_nodes', 30), ('classifier__min_samples_leaf', 15), ('classifier__min_samples_split', 6)])",0.89803085121987,"OrderedDict([('classifier__ccp_alpha', 8.697490026177835), ('classifier__max_depth', None), ('classifier__max_leaf_nodes', 30), ('classifier__min_samples_leaf', 23), ('classifier__min_samples_split', 5)])",0.8065227377124483,DecisionTreeClassifier
46,"OrderedDict([('classifier__ccp_alpha', 0.001747528400007683), ('classifier__max_depth', 21), ('classifier__max_leaf_nodes', 60), ('classifier__min_samples_leaf', 44), ('classifier__min_samples_split', 4)])",0.733,"OrderedDict([('classifier__ccp_alpha', 0.0015199110829529332), ('classifier__max_depth', 77), ('classifier__max_leaf_nodes', 310), ('classifier__min_samples_leaf', 4), ('classifier__min_samples_split', 7)])",0.8453021893308665,"OrderedDict([('classifier__ccp_alpha', 0.23101297000831605), ('classifier__max_depth', 9), ('classifier__max_leaf_nodes', 290), ('classifier__min_samples_leaf', 25), ('classifier__min_samples_split', 4)])",0.8847601818804087,"OrderedDict([('classifier__ccp_alpha', 0.012328467394420659), ('classifier__max_depth', 15), ('classifier__max_leaf_nodes', 110), ('classifier__min_samples_leaf', 47), ('classifier__min_samples_split', 6)])",0.8065227377124483,DecisionTreeClassifier
47,"OrderedDict([('classifier__ccp_alpha', 0.001747528400007683), ('classifier__max_depth', 87), ('classifier__max_leaf_nodes', 70), ('classifier__min_samples_leaf', 22), ('classifier__min_samples_split', 3)])",0.6950000000000001,"OrderedDict([('classifier__ccp_alpha', 0.0015199110829529332), ('classifier__max_depth', 15), ('classifier__max_leaf_nodes', 40), ('classifier__min_samples_leaf', 16), ('classifier__min_samples_split', 8)])",0.8395659026278823,"OrderedDict([('classifier__ccp_alpha', 0.001), ('classifier__max_depth', 9), ('classifier__max_leaf_nodes', 210), ('classifier__min_samples_leaf', 41), ('classifier__min_samples_split', 5)])",0.896040189703222,"OrderedDict([('classifier__ccp_alpha', 497.7023564332114), ('classifier__max_depth', 95), ('classifier__max_leaf_nodes', 260), ('classifier__min_samples_leaf', 30), ('classifier__min_samples_split', 4)])",0.8065227377124483,DecisionTreeClassifier
48,"OrderedDict([('classifier__ccp_alpha', 0.004037017258596553), ('classifier__max_depth', 39), ('classifier__max_leaf_nodes', 50), ('classifier__min_samples_leaf', 35), ('classifier__min_samples_split', 8)])",0.717,"OrderedDict([('classifier__ccp_alpha', 0.0015199110829529332), ('classifier__max_depth', 77), ('classifier__max_leaf_nodes', 300), ('classifier__min_samples_leaf', 47), ('classifier__min_samples_split', 8)])",0.815877274128893,"OrderedDict([('classifier__ccp_alpha', 0.001), ('classifier__max_depth', 29), ('classifier__max_leaf_nodes', 70), ('classifier__min_samples_leaf', 28), ('classifier__min_samples_split', 3)])",0.898030606756955,"OrderedDict([('classifier__ccp_alpha', 0.005336699231206312), ('classifier__max_depth', 27), ('classifier__max_leaf_nodes', 210), ('classifier__min_samples_leaf', 34), ('classifier__min_samples_split', 7)])",0.8048690858980247,DecisionTreeClassifier
49,"OrderedDict([('classifier__ccp_alpha', 0.004037017258596553), ('classifier__max_depth', 39), ('classifier__max_leaf_nodes', 140), ('classifier__min_samples_leaf', 24), ('classifier__min_samples_split', 8)])",0.7130000000000001,"OrderedDict([('classifier__ccp_alpha', 0.0015199110829529332), ('classifier__max_depth', 73), ('classifier__max_leaf_nodes', 230), ('classifier__min_samples_leaf', 24), ('classifier__min_samples_split', 6)])",0.8336432315757015,"OrderedDict([('classifier__ccp_alpha', 0.001), ('classifier__max_depth', 59), ('classifier__max_leaf_nodes', 40), ('classifier__min_samples_leaf', 39), ('classifier__min_samples_split', 3)])",0.895818950765169,"OrderedDict([('classifier__ccp_alpha', 107.22672220103232), ('classifier__max_depth', 57), ('classifier__max_leaf_nodes', 130), ('classifier__min_samples_leaf', 27), ('classifier__min_samples_split', 3)])",0.8065227377124483,DecisionTreeClassifier
